stop_id,stop_name,stop_lat,stop_lon
RS_ACC1_S-1-2546,아차산,37.551690000,127.089760000
RS_ACC1_S-1-2547,광나루,37.545300000,127.103570000
RS_ACC1_S-1-2548,천호,37.538460000,127.123900000
RS_ACC1_S-1-2549,강동,37.535800000,127.132480000
RS_ACC1_S-1-2550,길동,37.537800000,127.140000000
RS_ACC1_S-1-2551,굽은다리,37.545480000,127.142850000
RS_ACC1_S-1-2552,명일,37.551370000,127.144000000
RS_ACC1_S-1-2553,고덕,37.555000000,127.154150000
RS_ACC1_S-1-2554,상일동,37.556710000,127.166420000
RS_ACC1_S-1-2555,둔촌동,37.527790000,127.136250000
RS_ACC1_S-1-2556,올림픽공원,37.516080000,127.130850000
RS_ACC1_S-1-2557,방이,37.508860000,127.126130000
RS_ACC1_S-1-2558,오금,37.502140000,127.127860000
RS_ACC1_S-1-2559,개롱,37.498080000,127.134820000
RS_ACC1_S-1-2560,거여,37.493110000,127.144150000
RS_ACC1_S-1-2561,마천,37.494990000,127.152780000
RS_ACC1_S-1-2562,강일,37.557420000,127.175740000
RS_ACC1_S-1-2563,미사,37.563050000,127.192940000
RS_ACC1_S-1-2564,하남풍산,37.552150000,127.203930000
RS_ACC1_S-1-2565,하남시청,37.541910000,127.206400000
RS_ACC1_S-1-2566,하남검단산,37.539750000,127.223270000
RS_ACC1_S-1-2611,응암,37.598610000,126.915580000
RS_ACC1_S-1-2612,역촌,37.606020000,126.922740000
RS_ACC1_S-1-2613,불광,37.610880000,126.929410000
RS_ACC1_S-1-2614,독바위,37.618460000,126.933030000
RS_ACC1_S-1-2615,연신내,37.618580000,126.920490000
RS_ACC1_S-1-2616,구산,37.611380000,126.917270000
RS_ACC1_S-1-2617,새절,37.591150000,126.913630000
RS_ACC1_S-1-2618,증산,37.583880000,126.909650000
RS_ACC1_S-1-2619,디지털미디어시티,37.576050000,126.901360000
